publish_date,positive,negative,neutral,compound,country,language
2019-03-19,0,0.245,0.755,-0.3818,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0.123,0,0.877,0.1027,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0.206,0.794,-0.3818,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0.326,0,0.674,0.4404,Zimbabwe,ENG
2019-03-19,0,0.565,0.435,-0.7579,Zimbabwe,ENG
2019-03-19,0,0.426,0.574,-0.6369,Zimbabwe,ENG
2019-03-19,0,0.459,0.541,-0.6249,Zimbabwe,ENG
2019-03-19,0.167,0,0.833,0.3818,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0.59,0.41,-0.802,Zimbabwe,ENG
2019-03-15,0,0.451,0.549,-0.6249,Zimbabwe,ENG
2019-03-18,0,0.394,0.606,-0.5994,Zimbabwe,ENG
2019-03-19,0.286,0,0.714,0.4939,Zimbabwe,ENG
2019-03-15,0,0.451,0.549,-0.6249,Zimbabwe,ENG
2019-03-19,0,0.565,0.435,-0.7579,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0.151,0.849,-0.1531,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0.252,0,0.748,0.4019,Zimbabwe,ENG
2019-03-19,0,0.113,0.887,-0.1027,Zimbabwe,ENG
2019-03-19,0,0.487,0.513,-0.5859,Zimbabwe,ENG
2019-03-15,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0.282,0.718,-0.6705,Zimbabwe,ENG
2019-03-19,0,0.103,0.897,-0.1531,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0.474,0.526,-0.5423,Zimbabwe,ENG
2019-03-19,0,0.313,0.687,-0.6249,Zimbabwe,ENG
2019-03-19,0.18,0,0.82,0.296,Zimbabwe,ENG
2019-03-19,0.205,0,0.795,0.4767,Zimbabwe,ENG
2019-03-19,0,0.22,0.78,-0.4767,Zimbabwe,ENG
2019-03-19,0.231,0,0.769,0.4019,Zimbabwe,ENG
2019-03-16,0,0,1,0,Zimbabwe,ENG
2019-03-16,0,0.333,0.667,-0.5423,Zimbabwe,ENG
2019-03-16,0,0,1,0,Zimbabwe,ENG
2019-03-16,0,0,1,0,Zimbabwe,ENG
2019-03-17,0,0.412,0.588,-0.5423,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-15,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0.223,0.777,-0.3182,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-18,0,0.304,0.696,-0.5423,Zimbabwe,ENG
2019-03-18,0,0.655,0.345,-0.6908,Zimbabwe,ENG
